,commands
541,I would've thought being hit by an atomic bomb would have killed him.
542,Now you know better.
543,"Turn the page, Bart."
544,"Listen, you guys are welcome to come over and read it any time you like."
545,Why can't we keep it at my house?
546,Your house? That's crazy talk!
547,"Well, the comic's ours as much as it is yours."
548,"How about this, guys. Bart can have it Mondays and Thursdays. Milhouse will get it Tuesdays and Fridays. And yours truly will take it Wednesdays and Saturdays."
549,Wait a minute. What about Sunday?
550,Yeah. What about Sunday?
551,"Well, Sunday possession will be determined by a random number generator. I will take the digits one through three. Milhouse will have four through six. And Bart will have seven through nine."
552,Wait a minute. What about zero?
553,Yeah! What about zero?
554,"Well, in the unlikely event of a zero, possession will be determined by ""Rock, Scissor, Paper"" competition. Best three out of five, how's that?"
555,"Excellent! Well, today being Saturday, Gentlemen, I guess I'll be taking my comic and..."
556,"Uh, uh, uh, ah nice try, Martin. It almost worked. But tonight, this comic book stays right here."
557,"If the comic book stays right here, then so do I."
558,Me too!
559,"Fine. We're all going to stay here with the comic book. It'll be like a sleep-over. Yeah, a sleep-over. That's what pals do, right? Real friendly-like."
560,I want to read it again.
561,"Nice try, mister."
562,"the acids in your hands could damage the newsprint. We want to keep this comic forever, so the last one alive will have the honor of being buried with it."
563,"What do you mean, the last one alive?"
564,I meant years from now.
565,"Yeah, sure you did."
566,don't push him!
567,"I knew it. You're both against me! Well, nobody makes a sap out of Bartholemew J. Simpson."
568,I thought you boys might like some milk and microwave s'mores.
569,"Thank you, Mrs. Simpson."
570,"Sweet dreams, boys."
571,One more step and you're a dead man.
572,"I have to go to the bathroom, Bart."
573,"Yeah, right, so do I, but you don't see me gettin' up."
574,"Hey, what's going on?"
575,Our dear friend Martin was trying to steal the comic book.
576,Let's tie him up!
577,is this how you treat all your guests?
578,"Hmp, impressive."
579,"Quiet, Piggy, or we'll stick an apple in your mouth. We can't take any chances. We'll have to take turns watching him."
580,Okay. I'll go first.
581,"Oh, so that's your little game. Let old Bart get nice and drowsy, then, when his back is turned... wham!"
582,"Well, it is not going to happen, see?"
583,"You're going crazy, Bart. I'm telling your mom!"
584,"Hey Martin, tell him what we do with squealers."
585,I don't know. Is it worse than what you do with people that have to go to the bathroom?
586,You can't stop me.
587,The hell I can't!
588,it's really coming down. Could you check on the boys?
589,They're fine.
590,the comic!
591,Don't let go of me Bart!
592,it's not that far to the ground. And the rain has probably softened it up a bit.
593,"No, Bart! No!"
594,"You know, if you guys hadn't tied me up, I could be saving the comic as we speak."
595,Shut up! Shut up!
596,"Help me, Bart! I didn't even want the comic. I wanted Carl Yastrzemski with the big side-burns."
597,"Boys, you better come in the house. You don't want to get the sniffles."
598,"Aw, Mom."
599,Now come on... You can play your little tie-up game inside. I've got some cocoa on the stove. Who wants imitation marshmallows?
600,"I'd raise my hand, Mrs.  if I could."
601,"It's no use, fellows. Another comic book has returned to the earth from whence it came."
602,We worked so hard and now it's all gone... We ended up with nothing because the three of us can't share.
603,What's your point?
604,Nothing. It just kind of ticks me off.
605,"Well, the world is safe again... but for how long?"
606,"Ah, Chief Wiggum, Archbishop McGee, distinguished guests. I am pleased to dedicate this emergency warning system. In the uh, off chance of a nuclear disaster, this sign will tell you, the good citizens of Springfield, what to do."
607,"Joke's on them. If the core explodes, there won't be any power to light that sign."
608,"And now, I would like to present the man who made this sign possible, by dropping the last of his obstructionist legal challenges... Montgomery Burns."
609,Mr. Burns is never late. Something must be terribly wrong.
610,"Well, there better be. Nobody leaves Diamond Joe Quimby holding the bag!"
611,Must... turn... over. Got to... greet... dignitaries!
612,"Oh, no, Mr. Burns! We've got to get a doctor!"
613,"Absolutely not! No quack sawbones is going to apply his leeches to me! As long as there's an ounce of strength left in me, I..."
614,Mmmm. Mr. Burns is suffering from what we medical men call hypohemia. In layman's terms it's quite simply a lack of blood.
615,"Damn it, doctor, I'm no idiot! I know what hypohemia is. What I want to know is what can we do about it?"
616,"Well, at this point, our only hope is a transfusion."
617,How long does it take to sterilize a needle?
618,A few seconds.
619,"Well, skip it."
620,Just leave me enough to get home.
621,I'm afraid it's not that simple. His blood type is Double-O-Negative. It's quite rare.
622,But I'm B positive. Damn this common gutter blood in my veins!
623,"Smithers, don't feel so bad. After all, that kidney you donated to me really hit the spot."
624,How many hairs on my head? Without looking!
625,Go ahead.
626,"Attention all employees. Our boss and inspiration, Mr. Burns... is at death ... death's door. If you have type Double-O-Negative blood, I implore you to report to the Bloodmobile outside. That is all."
627,"I'd give him my blood, except for one thing."
628,What's that?
629,I don't wanna.
630,"I can't believe you guys. There's a human being out there with millions of dollars who needs our help. And you don't wanna cash in? That's why you losers are stuck in this crummy, dead end job."
631,"You know,  I am your supervisor."
632,"Sorry, sir."
633,"Maggie, look. What's that?"
634,Lee-mur. Lee-mur.
635,Zee-boo. Zee-boo.
636,"What are you doing, honey?"
637,I'm trying to teach Maggie that nature doesn't end with the barnyard. I want her to have all the advantages that I didn't have.
638,we did the best we could... What's a zebu?
639,"It's like an ox, only it has a hump and a dewlap. Hump and dew-lap. Hump and dew-lap."
640,Marge! Marge! What's my blood type?
641,"Aw, nuts! Extremely rare blood and I don't have it."
642,"You know his blood type, how romantic."
643,A mother knows everything about her family.
644,"Oh, yeah? What's my shoe size?"
645,Four B.
646,How many teeth do I have?
647,"Sixteen permanent, eight baby."
648,"I don't want you wearing rings, it looks cheap, but three."
649,Butterscotch and imitation butterscotch.
650,Glow in the dark monster make-up.
651,"Oh, Homie, you have lots of hair... Why did you want to know your blood type?"
652,"Aw, old man Burns is gonna kick off if he doesn't get some Double-O-Negative blood, but nobody at the plant has it."
653,Bart does.
654,"Woo! Yes! All right! Woo! Congratulations, boy! You've got a date with a needle!"
655,"Hey, wait a minute. I don't have to give blood. I have rights, you know."
656,"Yeah, you have the right to remain silent."
657,you have to help someone in need. It's the only decent thing to do.
658,"it's not like I'm asking you to give blood for free. That would be crazy! You're a little young to understand this, but when you save a rich man's life, he showers you with riches. Don't you know the story of Hercules and the Lion?"
659,Is it a Bible story?
660,"Yeah, probably. Anyway, once upon a time there was a big mean lion who got a thorn in his paw. And all the village people tried to pull it out, but nobody was strong enough. So they got Hercules, and Hercules used his mighty strength, and bingo. Anyway, the moral is, the lion was so happy, he gave Hercules this big thing of riches."
661,How did a lion get rich?
662,It was the olden days!
663,"Hey, let's go! Emergency! Life-or-death here!"
664,"Just a sec, man!"
665,"Whoa, Otto-man! You work here?"
666,"Oh yeah! During the day, all my friends are in school, so I got a job as a Certified Bloodletting Tech Dude."
667,Now let's get the show on the road.
668,Okay. Let me wash up.
669,brave young Bart. I don't know which one to hug first.
670,Eh.... the boy.
671,We're ready with the transfusion.
672,"Smithers, I'm not going to make it. I want to dictate... my epitaph."
673,Charles... Montgomery... Burns.
674,"Um, hmm."
675,American Patriot
676,... American Patriot.
677,Master Of The Atom.
678,Scourge Of The Despot.
679,"""O Tyrant Hear His Mighty Name And QUAKE!!"" Smithers, I'm back!"
680,"Oh, top o' the mornin' to ye! Why, look who's here! It's good old... you!"
681,"Hi, Mr. Burns."
682,"Oh, hey, there, Mr... Brown Shoes! How about that local sports team? Hm?"
683,Mr. Burns... he's okay! Jackpot!
684,"Aye, caramba!"
685,"Heh-heh-heh! Well, that's game! Hasta manana, Osvaldo!"
686,"Smithers, I'm back in the pink! Full of pith and vinegar!"
687,"Just remarkable, sir."
688,"You know, it's funny, Smithers. I tried every tincture and poultice and tonic and patent medicine there is. And all I really needed was the blood of a young boy. By the way, what was the lad's name?"
689,"Uh, Bart  sir."
690,He's the son of Homer Simpson. One of your stiffs in Sector 7-G.
691,"Well, the Simpsons will be getting a very nice surprise in the mail. Very nice, indeed."
692,"Bill... Bill... Summons... Bill... Wait a minute. From C.M. Burns? Is this it? Yes, this is it! Woo-hoo! Woo!"
693,Marge! Lisa! Maggie! Let's do this out in the yard where the neighbors can see!
694,"dim the lights! No, turn on more lights! But do something!"
695,"Yes, Dad."
696,"It's a little thin, but that's okay, could be a check."
697,The meaning of what?
698,"""Better half,"" Marge. ""Better half."""
699,"All right, there's no check, just a card. But don't panic. I'm sure it tells us what we're getting and where we can pick it up. ""Dear Bart... Thank you kindly for the blood. Yours truly, Montgomery Burns."" It's just a card!"
700,"This is some way to show your gratitude. No gold. No diamonds. No rubies. Not even a lousy card. Wait a minute, there was a card. That's what got me so mad in the first place."
